original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Absiella.s__Absiella_dolichum	g__Absiella	s__Absiella dolichum		no_species_or_genus_match							
g__Acetobacter.s__Acetobacter_sp_CAG_267	g__Acetobacter	s__Acetobacter sp CAG 267		genus_match_only							
g__Acetobacter.s__Acetobacter_sp_CAG_977	g__Acetobacter	s__Acetobacter sp CAG 977		genus_match_only							
g__Acholeplasma.s__Acholeplasma_sp_CAG_878	g__Acholeplasma	s__Acholeplasma sp CAG 878		genus_match_only							
g__Acidaminococcus.s__Acidaminococcus_intestini	g__Acidaminococcus	s__Acidaminococcus intestini	RS_GCF_000425045.1	exact_species_match	s__Acidaminococcus intestini	g__Acidaminococcus	f__Acidaminococcaceae	o__Acidaminococcales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
g__Acinetobacter.s__Acinetobacter_idrijaensis	g__Acinetobacter	s__Acinetobacter idrijaensis	GB_GCA_000761495.1	exact_species_match	s__Acinetobacter idrijaensis	g__Acinetobacter	f__Moraxellaceae	o__Pseudomonadales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter idrijaensis
g__Acinetobacter.s__Acinetobacter_lwoffii	g__Acinetobacter	s__Acinetobacter lwoffii	RS_GCF_029024105.1	exact_species_match	s__Acinetobacter lwoffii	g__Acinetobacter	f__Moraxellaceae	o__Pseudomonadales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii
g__Actinomyces.s__Actinomyces_sp_HMSC035G02	g__Actinomyces	s__Actinomyces sp HMSC035G02		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_HPA0247	g__Actinomyces	s__Actinomyces sp HPA0247		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_ICM47	g__Actinomyces	s__Actinomyces sp ICM47		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	g__Actinomyces	s__Actinomyces sp oral taxon 180		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_oral_taxon_181	g__Actinomyces	s__Actinomyces sp oral taxon 181		genus_match_only							
g__Actinomyces.s__Actinomyces_urogenitalis	g__Actinomyces	s__Actinomyces urogenitalis	RS_GCF_000159035.1	exact_species_match	s__Actinomyces urogenitalis	g__Actinomyces	f__Actinomycetaceae	o__Actinomycetales	c__Actinomycetes	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis
g__Adlercreutzia.s__Adlercreutzia_equolifaciens	g__Adlercreutzia	s__Adlercreutzia equolifaciens	RS_GCF_000478885.1	exact_species_match	s__Adlercreutzia equolifaciens	g__Adlercreutzia	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens
g__Agathobaculum.s__Agathobaculum_butyriciproducens	g__Agathobaculum	s__Agathobaculum butyriciproducens	RS_GCF_003096535.1	exact_species_match	s__Agathobaculum butyriciproducens	g__Agathobaculum	f__Butyricicoccaceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens
g__Akkermansia.s__Akkermansia_muciniphila	g__Akkermansia	s__Akkermansia muciniphila	RS_GCF_000020225.1	exact_species_match	s__Akkermansia muciniphila	g__Akkermansia	f__Akkermansiaceae	o__Verrucomicrobiales	c__Verrucomicrobiia	p__Verrucomicrobiota	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
g__Alistipes.s__Alistipes_finegoldii	g__Alistipes	s__Alistipes finegoldii	RS_GCF_000265365.1	exact_species_match	s__Alistipes finegoldii	g__Alistipes	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii
g__Alistipes.s__Alistipes_indistinctus	g__Alistipes	s__Alistipes indistinctus	RS_GCF_025144995.1	ncbi_taxonomy_species_match	s__Alistipes_A indistinctus	g__Alistipes_A	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus
g__Alistipes.s__Alistipes_onderdonkii	g__Alistipes	s__Alistipes onderdonkii	RS_GCF_025145285.1	exact_species_match	s__Alistipes onderdonkii	g__Alistipes	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
g__Alistipes.s__Alistipes_putredinis	g__Alistipes	s__Alistipes putredinis	RS_GCF_000154465.1	exact_species_match	s__Alistipes putredinis	g__Alistipes	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
g__Alistipes.s__Alistipes_shahii	g__Alistipes	s__Alistipes shahii	RS_GCF_025145845.1	exact_species_match	s__Alistipes shahii	g__Alistipes	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
g__Alistipes.s__Alistipes_sp_An31A	g__Alistipes	s__Alistipes sp An31A		genus_match_only							
g__Alistipes.s__Alistipes_sp_An66	g__Alistipes	s__Alistipes sp An66		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_268	g__Alistipes	s__Alistipes sp CAG 268		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_435	g__Alistipes	s__Alistipes sp CAG 435		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_514	g__Alistipes	s__Alistipes sp CAG 514		genus_match_only							
g__Alistipes.s__Alistipes_timonensis	g__Alistipes	s__Alistipes timonensis	RS_GCF_900107675.1	exact_species_match	s__Alistipes timonensis	g__Alistipes	f__Rikenellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes timonensis
g__Allisonella.s__Allisonella_histaminiformans	g__Allisonella	s__Allisonella histaminiformans	RS_GCF_900103425.1	exact_species_match	s__Allisonella histaminiformans	g__Allisonella	f__Dialisteraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Allisonella;s__Allisonella histaminiformans
g__Alloscardovia.s__Alloscardovia_omnicolens	g__Alloscardovia	s__Alloscardovia omnicolens	RS_GCF_000420505.1	exact_species_match	s__Alloscardovia omnicolens	g__Alloscardovia	f__Bifidobacteriaceae	o__Actinomycetales	c__Actinomycetes	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens
g__Anaerocolumna.s__Anaerocolumna_aminovalerica	g__Anaerocolumna	s__Anaerocolumna aminovalerica	RS_GCF_900115365.1	exact_species_match	s__Anaerocolumna aminovalerica	g__Anaerocolumna	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna aminovalerica
g__Anaerofilum.s__Anaerofilum_sp_An201	g__Anaerofilum	s__Anaerofilum sp An201		genus_match_only							
g__Anaeroglobus.s__Anaeroglobus_geminatus	g__Anaeroglobus	s__Anaeroglobus geminatus	RS_GCF_000239275.1	ncbi_taxonomy_species_match	s__Megasphaera geminata	g__Megasphaera	f__Megasphaeraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera geminata
g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	g__Anaeromassilibacillus	s__Anaeromassilibacillus sp An250		genus_match_only							
g__Anaerosporobacter.s__Anaerosporobacter_mobilis	g__Anaerosporobacter	s__Anaerosporobacter mobilis	RS_GCF_900142955.1	exact_species_match	s__Anaerosporobacter mobilis	g__Anaerosporobacter	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__Anaerosporobacter mobilis
g__Anaerostipes.s__Anaerostipes_caccae	g__Anaerostipes	s__Anaerostipes caccae	RS_GCF_014467075.1	exact_species_match	s__Anaerostipes caccae	g__Anaerostipes	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae
g__Anaerostipes.s__Anaerostipes_hadrus	g__Anaerostipes	s__Anaerostipes hadrus	RS_GCF_030296915.1	exact_species_match	s__Anaerostipes hadrus	g__Anaerostipes	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
g__Anaerotignum.s__Anaerotignum_lactatifermentans	g__Anaerotignum	s__Anaerotignum lactatifermentans	RS_GCF_900142265.1	exact_species_match	s__Anaerotignum lactatifermentans	g__Anaerotignum	f__Anaerotignaceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans
g__Anaerotruncus.s__Anaerotruncus_colihominis	g__Anaerotruncus	s__Anaerotruncus colihominis	RS_GCF_025146135.1	exact_species_match	s__Anaerotruncus colihominis	g__Anaerotruncus	f__Ruminococcaceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	g__Anaerotruncus	s__Anaerotruncus sp CAG 390		genus_match_only							
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528	g__Anaerotruncus	s__Anaerotruncus sp CAG 528		genus_match_only							
g__Asaccharobacter.s__Asaccharobacter_celatus	g__Asaccharobacter	s__Asaccharobacter celatus		no_species_or_genus_match							
g__Atlantibacter.s__Atlantibacter_hermannii	g__Atlantibacter	s__Atlantibacter hermannii	GB_GCA_900635495.1	exact_species_match	s__Atlantibacter hermannii	g__Atlantibacter	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter hermannii
g__Azospirillum.s__Azospirillum_sp_CAG_260	g__Azospirillum	s__Azospirillum sp CAG 260		genus_match_only							
g__Bacteroides.s__Bacteroides_caccae	g__Bacteroides	s__Bacteroides caccae	RS_GCF_002222615.2	exact_species_match	s__Bacteroides caccae	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
g__Bacteroides.s__Bacteroides_cellulosilyticus	g__Bacteroides	s__Bacteroides cellulosilyticus	RS_GCF_028539415.1	exact_species_match	s__Bacteroides cellulosilyticus	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
g__Bacteroides.s__Bacteroides_clarus	g__Bacteroides	s__Bacteroides clarus	RS_GCF_900129655.1	exact_species_match	s__Bacteroides clarus	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus
g__Bacteroides.s__Bacteroides_coprocola	g__Bacteroides	s__Bacteroides coprocola		genus_match_only							
g__Bacteroides.s__Bacteroides_coprophilus	g__Bacteroides	s__Bacteroides coprophilus		genus_match_only							
g__Bacteroides.s__Bacteroides_dorei	g__Bacteroides	s__Bacteroides dorei		genus_match_only							
g__Bacteroides.s__Bacteroides_eggerthii	g__Bacteroides	s__Bacteroides eggerthii	RS_GCF_025146565.1	exact_species_match	s__Bacteroides eggerthii	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii
g__Bacteroides.s__Bacteroides_faecichinchillae	g__Bacteroides	s__Bacteroides faecichinchillae	RS_GCF_000614145.1	exact_species_match	s__Bacteroides faecichinchillae	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecichinchillae
g__Bacteroides.s__Bacteroides_faecis	g__Bacteroides	s__Bacteroides faecis	RS_GCF_900106755.1	exact_species_match	s__Bacteroides faecis	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis
g__Bacteroides.s__Bacteroides_finegoldii	g__Bacteroides	s__Bacteroides finegoldii	GB_GCA_030295565.1	exact_species_match	s__Bacteroides finegoldii	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii
g__Bacteroides.s__Bacteroides_fluxus	g__Bacteroides	s__Bacteroides fluxus	RS_GCF_000195635.1	exact_species_match	s__Bacteroides fluxus	g__Bacteroides	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fluxus
