original_taxon	reason	candidate_accession	candidate_species	candidate_taxonomy
g__Absiella.s__Absiella_dolichum	no_species_or_genus_match			
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_000963965.1	s__Acetobacter orientalis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter orientalis
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_011516925.1	s__Acetobacter fabarum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter fabarum
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_000285275.1	s__Acetobacter pasteurianus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter pasteurianus
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_001628715.1	s__Acetobacter oryzifermentans	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter oryzifermentans
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	GB_GCA_012517935.1	s__Acetobacter sp012517935	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter sp012517935
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_006539345.1	s__Acetobacter peroxydans	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter peroxydans
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_001580995.1	s__Acetobacter senegalensis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter senegalensis
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_014207635.1	s__Acetobacter lovaniensis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter lovaniensis
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_000964225.1	s__Acetobacter syzygii	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter syzygii
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	GB_GCA_000613905.1	s__Acetobacter persici	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter persici
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_001580615.1	s__Acetobacter malorum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter malorum
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_000963945.1	s__Acetobacter indonesiensis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter indonesiensis
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_001580915.1	s__Acetobacter tropicalis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter tropicalis
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_001580535.1	s__Acetobacter cerevisiae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter cerevisiae
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	RS_GCF_004014775.2	s__Acetobacter oryzoeni	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter oryzoeni
g__Acetobacter.s__Acetobacter_sp_CAG_267	genus_match_only	GB_GCA_017413025.1	s__Acetobacter sp017413025	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter sp017413025
