original_taxon	genus	species_name	gtdb_genus	gtdb_species
g__Absiella.s__Absiella_dolichum	Absiella	Absiella dolichum	g__Absiella	s__Absiella dolichum
g__Acetobacter.s__Acetobacter_sp_CAG_267	Acetobacter	Acetobacter sp CAG 267	g__Acetobacter	s__Acetobacter sp CAG 267
g__Acetobacter.s__Acetobacter_sp_CAG_977	Acetobacter	Acetobacter sp CAG 977	g__Acetobacter	s__Acetobacter sp CAG 977
g__Acholeplasma.s__Acholeplasma_sp_CAG_878	Acholeplasma	Acholeplasma sp CAG 878	g__Acholeplasma	s__Acholeplasma sp CAG 878
g__Acidaminococcus.s__Acidaminococcus_intestini	Acidaminococcus	Acidaminococcus intestini	g__Acidaminococcus	s__Acidaminococcus intestini
g__Acinetobacter.s__Acinetobacter_idrijaensis	Acinetobacter	Acinetobacter idrijaensis	g__Acinetobacter	s__Acinetobacter idrijaensis
g__Acinetobacter.s__Acinetobacter_lwoffii	Acinetobacter	Acinetobacter lwoffii	g__Acinetobacter	s__Acinetobacter lwoffii
g__Actinomyces.s__Actinomyces_sp_HMSC035G02	Actinomyces	Actinomyces sp HMSC035G02	g__Actinomyces	s__Actinomyces sp HMSC035G02
g__Actinomyces.s__Actinomyces_sp_HPA0247	Actinomyces	Actinomyces sp HPA0247	g__Actinomyces	s__Actinomyces sp HPA0247
g__Actinomyces.s__Actinomyces_sp_ICM47	Actinomyces	Actinomyces sp ICM47	g__Actinomyces	s__Actinomyces sp ICM47
g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	Actinomyces	Actinomyces sp oral taxon 180	g__Actinomyces	s__Actinomyces sp oral taxon 180
g__Actinomyces.s__Actinomyces_sp_oral_taxon_181	Actinomyces	Actinomyces sp oral taxon 181	g__Actinomyces	s__Actinomyces sp oral taxon 181
g__Actinomyces.s__Actinomyces_urogenitalis	Actinomyces	Actinomyces urogenitalis	g__Actinomyces	s__Actinomyces urogenitalis
g__Adlercreutzia.s__Adlercreutzia_equolifaciens	Adlercreutzia	Adlercreutzia equolifaciens	g__Adlercreutzia	s__Adlercreutzia equolifaciens
g__Agathobaculum.s__Agathobaculum_butyriciproducens	Agathobaculum	Agathobaculum butyriciproducens	g__Agathobaculum	s__Agathobaculum butyriciproducens
g__Akkermansia.s__Akkermansia_muciniphila	Akkermansia	Akkermansia muciniphila	g__Akkermansia	s__Akkermansia muciniphila
g__Alistipes.s__Alistipes_finegoldii	Alistipes	Alistipes finegoldii	g__Alistipes	s__Alistipes finegoldii
g__Alistipes.s__Alistipes_indistinctus	Alistipes	Alistipes indistinctus	g__Alistipes	s__Alistipes indistinctus
g__Alistipes.s__Alistipes_onderdonkii	Alistipes	Alistipes onderdonkii	g__Alistipes	s__Alistipes onderdonkii
g__Alistipes.s__Alistipes_putredinis	Alistipes	Alistipes putredinis	g__Alistipes	s__Alistipes putredinis
g__Alistipes.s__Alistipes_shahii	Alistipes	Alistipes shahii	g__Alistipes	s__Alistipes shahii
g__Alistipes.s__Alistipes_sp_An31A	Alistipes	Alistipes sp An31A	g__Alistipes	s__Alistipes sp An31A
g__Alistipes.s__Alistipes_sp_An66	Alistipes	Alistipes sp An66	g__Alistipes	s__Alistipes sp An66
g__Alistipes.s__Alistipes_sp_CAG_268	Alistipes	Alistipes sp CAG 268	g__Alistipes	s__Alistipes sp CAG 268
g__Alistipes.s__Alistipes_sp_CAG_435	Alistipes	Alistipes sp CAG 435	g__Alistipes	s__Alistipes sp CAG 435
g__Alistipes.s__Alistipes_sp_CAG_514	Alistipes	Alistipes sp CAG 514	g__Alistipes	s__Alistipes sp CAG 514
g__Alistipes.s__Alistipes_timonensis	Alistipes	Alistipes timonensis	g__Alistipes	s__Alistipes timonensis
g__Allisonella.s__Allisonella_histaminiformans	Allisonella	Allisonella histaminiformans	g__Allisonella	s__Allisonella histaminiformans
g__Alloscardovia.s__Alloscardovia_omnicolens	Alloscardovia	Alloscardovia omnicolens	g__Alloscardovia	s__Alloscardovia omnicolens
g__Anaerocolumna.s__Anaerocolumna_aminovalerica	Anaerocolumna	Anaerocolumna aminovalerica	g__Anaerocolumna	s__Anaerocolumna aminovalerica
g__Anaerofilum.s__Anaerofilum_sp_An201	Anaerofilum	Anaerofilum sp An201	g__Anaerofilum	s__Anaerofilum sp An201
g__Anaeroglobus.s__Anaeroglobus_geminatus	Anaeroglobus	Anaeroglobus geminatus	g__Anaeroglobus	s__Anaeroglobus geminatus
g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	Anaeromassilibacillus	Anaeromassilibacillus sp An250	g__Anaeromassilibacillus	s__Anaeromassilibacillus sp An250
g__Anaerosporobacter.s__Anaerosporobacter_mobilis	Anaerosporobacter	Anaerosporobacter mobilis	g__Anaerosporobacter	s__Anaerosporobacter mobilis
g__Anaerostipes.s__Anaerostipes_caccae	Anaerostipes	Anaerostipes caccae	g__Anaerostipes	s__Anaerostipes caccae
g__Anaerostipes.s__Anaerostipes_hadrus	Anaerostipes	Anaerostipes hadrus	g__Anaerostipes	s__Anaerostipes hadrus
g__Anaerotignum.s__Anaerotignum_lactatifermentans	Anaerotignum	Anaerotignum lactatifermentans	g__Anaerotignum	s__Anaerotignum lactatifermentans
g__Anaerotruncus.s__Anaerotruncus_colihominis	Anaerotruncus	Anaerotruncus colihominis	g__Anaerotruncus	s__Anaerotruncus colihominis
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	Anaerotruncus	Anaerotruncus sp CAG 390	g__Anaerotruncus	s__Anaerotruncus sp CAG 390
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528	Anaerotruncus	Anaerotruncus sp CAG 528	g__Anaerotruncus	s__Anaerotruncus sp CAG 528
g__Asaccharobacter.s__Asaccharobacter_celatus	Asaccharobacter	Asaccharobacter celatus	g__Asaccharobacter	s__Asaccharobacter celatus
g__Atlantibacter.s__Atlantibacter_hermannii	Atlantibacter	Atlantibacter hermannii	g__Atlantibacter	s__Atlantibacter hermannii
g__Azospirillum.s__Azospirillum_sp_CAG_260	Azospirillum	Azospirillum sp CAG 260	g__Azospirillum	s__Azospirillum sp CAG 260
g__Bacteroides.s__Bacteroides_caccae	Bacteroides	Bacteroides caccae	g__Bacteroides	s__Bacteroides caccae
g__Bacteroides.s__Bacteroides_cellulosilyticus	Bacteroides	Bacteroides cellulosilyticus	g__Bacteroides	s__Bacteroides cellulosilyticus
g__Bacteroides.s__Bacteroides_clarus	Bacteroides	Bacteroides clarus	g__Bacteroides	s__Bacteroides clarus
g__Bacteroides.s__Bacteroides_coprocola	Bacteroides	Bacteroides coprocola	g__Bacteroides	s__Bacteroides coprocola
g__Bacteroides.s__Bacteroides_coprophilus	Bacteroides	Bacteroides coprophilus	g__Bacteroides	s__Bacteroides coprophilus
g__Bacteroides.s__Bacteroides_dorei	Bacteroides	Bacteroides dorei	g__Bacteroides	s__Bacteroides dorei
g__Bacteroides.s__Bacteroides_eggerthii	Bacteroides	Bacteroides eggerthii	g__Bacteroides	s__Bacteroides eggerthii
g__Bacteroides.s__Bacteroides_faecichinchillae	Bacteroides	Bacteroides faecichinchillae	g__Bacteroides	s__Bacteroides faecichinchillae
g__Bacteroides.s__Bacteroides_faecis	Bacteroides	Bacteroides faecis	g__Bacteroides	s__Bacteroides faecis
g__Bacteroides.s__Bacteroides_finegoldii	Bacteroides	Bacteroides finegoldii	g__Bacteroides	s__Bacteroides finegoldii
g__Bacteroides.s__Bacteroides_fluxus	Bacteroides	Bacteroides fluxus	g__Bacteroides	s__Bacteroides fluxus
g__Bacteroides.s__Bacteroides_fragilis	Bacteroides	Bacteroides fragilis	g__Bacteroides	s__Bacteroides fragilis
g__Bacteroides.s__Bacteroides_intestinalis	Bacteroides	Bacteroides intestinalis	g__Bacteroides	s__Bacteroides intestinalis
g__Bacteroides.s__Bacteroides_massiliensis	Bacteroides	Bacteroides massiliensis	g__Bacteroides	s__Bacteroides massiliensis
g__Bacteroides.s__Bacteroides_nordii	Bacteroides	Bacteroides nordii	g__Bacteroides	s__Bacteroides nordii
g__Bacteroides.s__Bacteroides_oleiciplenus	Bacteroides	Bacteroides oleiciplenus	g__Bacteroides	s__Bacteroides oleiciplenus
g__Bacteroides.s__Bacteroides_ovatus	Bacteroides	Bacteroides ovatus	g__Bacteroides	s__Bacteroides ovatus
g__Bacteroides.s__Bacteroides_plebeius	Bacteroides	Bacteroides plebeius	g__Bacteroides	s__Bacteroides plebeius
g__Bacteroides.s__Bacteroides_salanitronis	Bacteroides	Bacteroides salanitronis	g__Bacteroides	s__Bacteroides salanitronis
g__Bacteroides.s__Bacteroides_salyersiae	Bacteroides	Bacteroides salyersiae	g__Bacteroides	s__Bacteroides salyersiae
g__Bacteroides.s__Bacteroides_sartorii	Bacteroides	Bacteroides sartorii	g__Bacteroides	s__Bacteroides sartorii
g__Bacteroides.s__Bacteroides_sp_An322	Bacteroides	Bacteroides sp An322	g__Bacteroides	s__Bacteroides sp An322
g__Bacteroides.s__Bacteroides_sp_CAG_1076	Bacteroides	Bacteroides sp CAG 1076	g__Bacteroides	s__Bacteroides sp CAG 1076
g__Bacteroides.s__Bacteroides_sp_CAG_144	Bacteroides	Bacteroides sp CAG 144	g__Bacteroides	s__Bacteroides sp CAG 144
