original_taxon	issue	details
g__Blautia.s__Ruminococcus_gnavus	species_does_not_start_with_genus	Parsed but suspicious: g__Blautia.s__Ruminococcus_gnavus
g__Blautia.s__Ruminococcus_torques	species_does_not_start_with_genus	Parsed but suspicious: g__Blautia.s__Ruminococcus_torques
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21
g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41
g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus
g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796	species_does_not_start_with_genus	Parsed but suspicious: g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796
g__Clostridiales_unclassified.s__Bacteroides_pectinophilus	species_does_not_start_with_genus	Parsed but suspicious: g__Clostridiales_unclassified.s__Bacteroides_pectinophilus
g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	species_does_not_start_with_genus	Parsed but suspicious: g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA
g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006	species_does_not_start_with_genus	Parsed but suspicious: g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006
g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	species_does_not_start_with_genus	Parsed but suspicious: g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615
g__Enorma.s__Collinsella_massiliensis	species_does_not_start_with_genus	Parsed but suspicious: g__Enorma.s__Collinsella_massiliensis
g__Erysipelatoclostridium.s__Clostridium_spiroforme	species_does_not_start_with_genus	Parsed but suspicious: g__Erysipelatoclostridium.s__Clostridium_spiroforme
g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	species_does_not_start_with_genus	Parsed but suspicious: g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53
g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15
g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_137	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_137
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238
