HISDEG-PWY	PWY-7953
ILEUSYN-PWY	PWY-6126
ARGSYNBSUB-PWY	PANTO-PWY
FASYN-ELONG-PWY	PWY-2942
NONMEVIPP-PWY	PWY-7199
PWY-7221	THISYNARA-PWY
COBALSYN-PWY	PWY-8178
PWY-6121	PWY-8178
PWY-6124	PWY-7977
COA-PWY	PWY-6277
METH-ACETATE-PWY	PWY-6123
PWY-5695	PWY-724
PANTO-PWY	PWY-5100
PEPTIDOGLYCANSYN-PWY	PWY-5695
ARGSYNBSUB-PWY	RHAMCAT-PWY
PWY-5188	PWY-5695
PWY-5097	PWY-6163
PWY-7560	PWY-7953
PWY-5030	PWY-6609
PWY-5695	PWY-6121
BRANCHED-CHAIN-AA-SYN-PWY	VALSYN-PWY
PWY-5384	PWY-7237
PWY-3841	PWY-6902
FASYN-ELONG-PWY	PANTO-PWY
BIOTIN-BIOSYNTHESIS-PWY	PWY-7229
BRANCHED-CHAIN-AA-SYN-PWY	RIBOSYN2-PWY
PWY-6385	UDPNAGSYN-PWY
PWY-7237	SER-GLYSYN-PWY
COA-PWY	PWY-7663
PWY-5097	PWY-6122
PWY-6609	PWY-7791
GLUTORN-PWY	PWY-6317
PWY-5097	PWY-7560
ILEUSYN-PWY	PEPTIDOGLYCANSYN-PWY
PWY-5695	RHAMCAT-PWY
HSERMETANA-PWY	PYRIDNUCSYN-PWY
PWY-5695	PWY-6126
PWY-6731	PWY-7953
FASYN-ELONG-PWY	RHAMCAT-PWY
UNINTEGRATED	PWY-7220
COA-PWY-1	PWY-7222
HISDEG-PWY	PYRIDNUCSYN-PWY
PWY-6123	THRESYN-PWY
FASYN-ELONG-PWY	PWY-6126
PWY-6124	TRNA-CHARGING-PWY
PWY-1042	PWY-6608
PWY-5030	PWY-5659
DTDPRHAMSYN-PWY	PWY-6123
ASPASN-PWY	SER-GLYSYN-PWY
DTDPRHAMSYN-PWY	ILEUSYN-PWY
PWY-3841	PWY-7199
ARGSYNBSUB-PWY	PEPTIDOGLYCANSYN-PWY
COMPLETE-ARO-PWY	PWY-3841
COA-PWY-1	PWY-7953
PWY-7238	PWY-724
GLYCOGENSYNTH-PWY	PWY-7357
PWY-5941	PWY-7851
ARO-PWY	PWY-7220
PWY-6123	PWY-7199
COA-PWY-1	PWY-6630
PWY-6147	PWY-6385
PWY-1042	PWY0-1296
ASPASN-PWY	PWY-7111
PWY-5973	PWY-7851
PWY-6125	PWY-7228
PWY-7208	RIBOSYN2-PWY
BRANCHED-CHAIN-AA-SYN-PWY	PWY-7229
FASYN-ELONG-PWY	PEPTIDOGLYCANSYN-PWY
ARGSYN-PWY	PWY-6703
PWY-5130	PWY-6124
HISTSYN-PWY	PWY-7238
PWY-7238	RHAMCAT-PWY
PWY-6125	PWY-6700
PWY-6122	PWY0-1319
CALVIN-PWY	PWY-6703
PWY-6163	PWY-7221
PWY-6270	PWY-7791
PWY-5100	PWY-8178
PWY-6731	PWY-7560
PWY-6122	PWY-6282
PWY-6122	PWY-7234
PWY-6703	PWY-7357
COA-PWY-1	PWY-6270
PWY-6387	PWY-7111
HSERMETANA-PWY	VALSYN-PWY
PWY-2942	PWY-7357
GALACTUROCAT-PWY	PWY-6123
ARO-PWY	PWY0-1297
NONMEVIPP-PWY	PWY-7228
PWY-6121	PWY-I9
HSERMETANA-PWY	RIBOSYN2-PWY
PWY-6519	PWY-7851
PWY-5030	PWY-7953
PEPTIDOGLYCANSYN-PWY	PWY-6147
PWY-6122	PWY-6151
PWY-6936	PWY-7791
PWY-5121	PWY-6902
PWY-5667	PWY-724
1CMET2-PWY	PWY-7663
GLUTORN-PWY	PWY66-429
PWY-7199	PYRIDOXSYN-PWY
1CMET2-PWY	PWY-5030
COA-PWY-1	PWY-7560
COMPLETE-ARO-PWY	PWY-7851
PWY-6124	PWY-6277
NONMEVIPP-PWY	PWY-6700
HISDEG-PWY	PWY-5989
NONOXIPENT-PWY	PWY-2942
ARGSYNBSUB-PWY	PWY-8178
PWY-1042	PWY-6317
PWY-6823	PWY66-429
GLYCOGENSYNTH-PWY	PWY-7237
COA-PWY	PWY-7197
RHAMCAT-PWY	SER-GLYSYN-PWY
METH-ACETATE-PWY	PWY-7221
PWY-6700	PWY-7851
PWY-5989	PWY-6124
NONOXIPENT-PWY	PWY-724
PWY-6387	PWY-7208
PWY-5659	PWY-7977
PWY-6386	PWY-7220
METH-ACETATE-PWY	PWY-2942
PEPTIDOGLYCANSYN-PWY	PYRIDOXSYN-PWY
PWY-5667	RHAMCAT-PWY
NONOXIPENT-PWY	PANTO-PWY
PWY-6122	PWY0-862
PWY-6124	PWY-7663
NONOXIPENT-PWY	PWY-6121
PWY-5667	PWY-6126
PWY0-1319	THISYNARA-PWY
ARGININE-SYN4-PWY	PWY-5030
PWY-6282	PWY-7977
PWY-6163	VALSYN-PWY
PWY-5100	PWY-5941
PWY-7221	PWY-7953
PWY-5121	PWY-7199
HISTSYN-PWY	PWY-6902
ILEUSYN-PWY	PWY-5941
PWY-7357	PWY-7790
PWY-6151	PWY-7237
PWY-6121	PWY-7791
GLUTORN-PWY	HISTSYN-PWY
PANTOSYN-PWY	PWY-7220
COA-PWY	PWY-5188
METH-ACETATE-PWY	PWY-6121
PWY-5030	PYRIDNUCSYN-PWY
PWY-3841	PWY-7228
UNINTEGRATED	P41-PWY
PEPTIDOGLYCANSYN-PWY	PWY-7111
PWY-6527	TRNA-CHARGING-PWY
DTDPRHAMSYN-PWY	PWY-5676
PANTO-PWY	PWY-6385
HISDEG-PWY	PWY-7229
PWY-5188	PWY-7111
PWY-5973	PWY-8178
PWY-3841	PWY-6700
PWY-5103	PWY-7220
PWY-5686	PWY-7790
ARGSYNBSUB-PWY	PWY-5941
PWY-5659	TRNA-CHARGING-PWY
DTDPRHAMSYN-PWY	PWY-7221
BIOTIN-BIOSYNTHESIS-PWY	PWY-5695
ANAGLYCOLYSIS-PWY	P41-PWY
PWY-6123	PWY-7228
SER-GLYSYN-PWY	THRESYN-PWY
P41-PWY	PWY-2942
BRANCHED-CHAIN-AA-SYN-PWY	PWY0-1319
PWY-5686	PWY-6519
HISTSYN-PWY	PWY-7199
PWY-6277	PWY-7977
P41-PWY	PWY-724
