Category: CD
Networks analyzed: 368

Vertex	Absolute_Frequency	Relative_Frequency(%)
--------------------------------------------------------------------------------
No articulation points found.	100	27.17
PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	92	25.00
PWY-6703:_preQ0_biosynthesis	91	24.73
TRNA-CHARGING-PWY:_tRNA_charging	85	23.10
NONMEVIPP-PWY:_methylerythritol_phosphate_pathway_I	82	22.28
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_chain_amino_acid_biosynthesis	81	22.01
PWY-6317:_D-galactose_degradation_I_(Leloir_pathway)	69	18.75
PWY-6270:_isoprene_biosynthesis_I	67	18.21
PWY-5121:_superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)	66	17.93
PWY-7560:_methylerythritol_phosphate_pathway_II	65	17.66
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	61	16.58
HSERMETANA-PWY:_L-methionine_biosynthesis_III	61	16.58
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	59	16.03
GLUTORN-PWY:_L-ornithine_biosynthesis_I	57	15.49
P41-PWY:_pyruvate_fermentation_to_acetate_and_(S)-lactate_I	56	15.22
PWY-5941:_glycogen_degradation_II	56	15.22
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	55	14.95
PWY-8178:_pentose_phosphate_pathway_(non-oxidative_branch)_II	55	14.95
PWY-6527:_stachyose_degradation	54	14.67
CALVIN-PWY:_Calvin-Benson-Bassham_cycle	54	14.67
NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)_I	54	14.67
PWY-6519:_8-amino-7-oxononanoate_biosynthesis_I	53	14.40
PWY0-1296:_purine_ribonucleosides_degradation	53	14.40
COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	53	14.40
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	52	14.13
PWY-6823:_molybdopterin_biosynthesis	51	13.86
ARGININE-SYN4-PWY:_L-ornithine_biosynthesis_II	50	13.59
PWY-7197:_pyrimidine_deoxyribonucleotide_phosphorylation	49	13.32
GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	49	13.32
PWY-5667:_CDP-diacylglycerol_biosynthesis_I	49	13.32
PWY0-1319:_CDP-diacylglycerol_biosynthesis_II	49	13.32
PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	49	13.32
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I	48	13.04
PWY-7977:_L-methionine_biosynthesis_IV	48	13.04
PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	48	13.04
PWY-5030:_L-histidine_degradation_III	46	12.50
PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	46	12.50
PWY-7238:_sucrose_biosynthesis_II	45	12.23
PWY-6151:_S-adenosyl-L-methionine_salvage_I	45	12.23
PWY-2942:_L-lysine_biosynthesis_III	45	12.23
PWY-7357:_thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)	44	11.96
PWY-1269:_CMP-3-deoxy-D-manno-octulosonate_biosynthesis	44	11.96
PWY-5973:_cis-vaccenate_biosynthesis	44	11.96
SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	44	11.96
THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	44	11.96
PANTO-PWY:_phosphopantothenate_biosynthesis_I	44	11.96
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage	43	11.68
PWY-5384:_sucrose_degradation_IV_(sucrose_phosphorylase)	43	11.68
PWY-6386:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	43	11.68
PWY-5097:_L-lysine_biosynthesis_VI	43	11.68
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	42	11.41
PYRIDNUCSYN-PWY:_NAD_de_novo_biosynthesis_I_(from_aspartate)	42	11.41
PWY-7663:_gondoate_biosynthesis_(anaerobic)	42	11.41
PWY-6609:_adenine_and_adenosine_salvage_III	42	11.41
RHAMCAT-PWY:_L-rhamnose_degradation_I	42	11.41
PWY66-429:_fatty_acid_biosynthesis_initiation_(mitochondria)	42	11.41
PWY-5695:_inosine_5'-phosphate_degradation	42	11.41
SALVADEHYPOX-PWY:_adenosine_nucleotides_degradation_II	41	11.14
HISDEG-PWY:_L-histidine_degradation_I	41	11.14
PANTOSYN-PWY:_superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	41	11.14
PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	41	11.14
PWY-6897:_thiamine_diphosphate_salvage_II	40	10.87
ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	40	10.87
PWY-5103:_L-isoleucine_biosynthesis_III	40	10.87
PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	40	10.87
PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	40	10.87
PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	40	10.87
PWY-6608:_guanosine_nucleotides_degradation_III	39	10.60
PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	39	10.60
PWY-3841:_folate_transformations_II_(plants)	39	10.60
1CMET2-PWY:_folate_transformations_III_(E._coli)	39	10.60
PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II	38	10.33
PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	38	10.33
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	38	10.33
PWY-6123:_inosine-5'-phosphate_biosynthesis_I	38	10.33
HISTSYN-PWY:_L-histidine_biosynthesis	38	10.33
PWY-6124:_inosine-5'-phosphate_biosynthesis_II	38	10.33
PWY-7953:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_III_(meso-diaminopimelate_containing)	38	10.33
ARO-PWY:_chorismate_biosynthesis_I	38	10.33
PWY-6936:_seleno-amino_acid_biosynthesis_(plants)	37	10.05
PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	37	10.05
PWY-6700:_queuosine_biosynthesis_I_(de_novo)	37	10.05
