Category: Healthy
Networks analyzed: 605

Vertex	Absolute_Frequency	Relative_Frequency(%)
--------------------------------------------------------------------------------
No articulation points found.	195	32.23
PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	188	31.07
PWY-6703:_preQ0_biosynthesis	184	30.41
TRNA-CHARGING-PWY:_tRNA_charging	167	27.60
NONMEVIPP-PWY:_methylerythritol_phosphate_pathway_I	165	27.27
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	159	26.28
PWY-6317:_D-galactose_degradation_I_(Leloir_pathway)	157	25.95
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	152	25.12
GLUTORN-PWY:_L-ornithine_biosynthesis_I	152	25.12
ARGININE-SYN4-PWY:_L-ornithine_biosynthesis_II	142	23.47
PWY-8178:_pentose_phosphate_pathway_(non-oxidative_branch)_II	142	23.47
PWY-5121:_superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)	136	22.48
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage	136	22.48
THISYNARA-PWY:_superpathway_of_thiamine_diphosphate_biosynthesis_III_(eukaryotes)	135	22.31
PWY-6897:_thiamine_diphosphate_salvage_II	134	22.15
NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)_I	132	21.82
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I	132	21.82
CALVIN-PWY:_Calvin-Benson-Bassham_cycle	125	20.66
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_chain_amino_acid_biosynthesis	124	20.50
PWY-7357:_thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)	123	20.33
PWY0-1296:_purine_ribonucleosides_degradation	121	20.00
PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	120	19.83
PWY-5030:_L-histidine_degradation_III	118	19.50
PWY-5941:_glycogen_degradation_II	118	19.50
PWY-5384:_sucrose_degradation_IV_(sucrose_phosphorylase)	117	19.34
GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	114	18.84
PWY-6823:_molybdopterin_biosynthesis	113	18.68
HISDEG-PWY:_L-histidine_degradation_I	112	18.51
PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	112	18.51
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	112	18.51
PYRIDNUCSYN-PWY:_NAD_de_novo_biosynthesis_I_(from_aspartate)	109	18.02
P41-PWY:_pyruvate_fermentation_to_acetate_and_(S)-lactate_I	109	18.02
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	108	17.85
PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	107	17.69
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	107	17.69
PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	107	17.69
PWY-2942:_L-lysine_biosynthesis_III	107	17.69
PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II	107	17.69
PWY-7242:_D-fructuronate_degradation	106	17.52
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli)	105	17.36
PWY-8073:_lipid_IVA_biosynthesis_(P._putida)	105	17.36
PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	104	17.19
PWY-6527:_stachyose_degradation	104	17.19
PWY-5667:_CDP-diacylglycerol_biosynthesis_I	103	17.02
PWY0-1319:_CDP-diacylglycerol_biosynthesis_II	103	17.02
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	102	16.86
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	102	16.86
PWY-7663:_gondoate_biosynthesis_(anaerobic)	102	16.86
PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	101	16.69
RHAMCAT-PWY:_L-rhamnose_degradation_I	100	16.53
PWY-5973:_cis-vaccenate_biosynthesis	100	16.53
