Category: Obese
Networks analyzed: 58

Vertex	Absolute_Frequency	Relative_Frequency(%)
--------------------------------------------------------------------------------
TRNA-CHARGING-PWY:_tRNA_charging	20	34.48
PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	18	31.03
No articulation points found.	18	31.03
PWY-6122:_5-aminoimidazole_ribonucleotide_biosynthesis_II	18	31.03
PWY-6277:_superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	18	31.03
GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	16	27.59
PWY-6123:_inosine-5'-phosphate_biosynthesis_I	16	27.59
CALVIN-PWY:_Calvin-Benson-Bassham_cycle	16	27.59
PWY-7977:_L-methionine_biosynthesis_IV	16	27.59
PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	15	25.86
ARGININE-SYN4-PWY:_L-ornithine_biosynthesis_II	15	25.86
NONMEVIPP-PWY:_methylerythritol_phosphate_pathway_I	15	25.86
PWY-5030:_L-histidine_degradation_III	14	24.14
PANTOSYN-PWY:_superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	14	24.14
PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	14	24.14
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	13	22.41
PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	13	22.41
PANTO-PWY:_phosphopantothenate_biosynthesis_I	13	22.41
PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	13	22.41
PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	13	22.41
PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	13	22.41
PWY-7791:_UMP_biosynthesis_III	13	22.41
PWY-6703:_preQ0_biosynthesis	13	22.41
PWY-7663:_gondoate_biosynthesis_(anaerobic)	13	22.41
ARO-PWY:_chorismate_biosynthesis_I	13	22.41
PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	12	20.69
PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	12	20.69
PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	12	20.69
PWY-6317:_D-galactose_degradation_I_(Leloir_pathway)	12	20.69
PWY-3841:_folate_transformations_II_(plants)	12	20.69
PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	12	20.69
NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)_I	12	20.69
PWY-8178:_pentose_phosphate_pathway_(non-oxidative_branch)_II	12	20.69
P41-PWY:_pyruvate_fermentation_to_acetate_and_(S)-lactate_I	12	20.69
PYRIDNUCSYN-PWY:_NAD_de_novo_biosynthesis_I_(from_aspartate)	12	20.69
PWY-7357:_thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)	12	20.69
PWY-6527:_stachyose_degradation	12	20.69
SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	11	18.97
COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	11	18.97
PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	11	18.97
HISDEG-PWY:_L-histidine_degradation_I	11	18.97
PWY-6124:_inosine-5'-phosphate_biosynthesis_II	11	18.97
PWY-5686:_UMP_biosynthesis_I	11	18.97
RHAMCAT-PWY:_L-rhamnose_degradation_I	11	18.97
PWY-7790:_UMP_biosynthesis_II	11	18.97
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	11	18.97
PWY-5121:_superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)	11	18.97
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	11	18.97
1CMET2-PWY:_folate_transformations_III_(E._coli)	10	17.24
PWY-7851:_coenzyme_A_biosynthesis_II_(eukaryotic)	10	17.24
HISTSYN-PWY:_L-histidine_biosynthesis	10	17.24
PWY-6936:_seleno-amino_acid_biosynthesis_(plants)	10	17.24
PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	10	17.24
